Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.7747578086561138
Random Forest,0.859,0.7659574468085106,0.44226044226044225,0.5607476635514018,0.8532029718470397
